n,rank,run,in_domain_accuracy,out_of_domain_accuracy
2,1,0,0.6893576222435283,0.686046511627907
2,1,1,0.41802492809204217,0.42441860465116277
2,1,2,0.41802492809204217,0.42441860465116277
2,1,3,0.41802492809204217,0.42441860465116277
2,1,4,0.41802492809204217,0.42441860465116277
2,1,5,0.41802492809204217,0.42441860465116277
2,1,6,0.41802492809204217,0.42441860465116277
2,1,7,0.41802492809204217,0.42441860465116277
2,1,8,0.41802492809204217,0.42441860465116277
2,1,9,0.41802492809204217,0.42441860465116277
2,2,0,0.41802492809204217,0.42441860465116277
2,2,1,0.41802492809204217,0.42441860465116277
2,2,2,0.41802492809204217,0.42441860465116277
2,2,3,0.41802492809204217,0.42441860465116277
2,2,4,0.41802492809204217,0.42441860465116277
2,2,5,0.41802492809204217,0.42441860465116277
2,2,6,0.41802492809204217,0.42441860465116277
2,2,7,0.41802492809204217,0.42441860465116277
2,2,8,0.41802492809204217,0.42441860465116277
2,2,9,0.41802492809204217,0.42441860465116277
2,4,0,0.41802492809204217,0.42441860465116277
2,4,1,0.41802492809204217,0.42441860465116277
2,4,2,0.41802492809204217,0.42441860465116277
2,4,3,0.41802492809204217,0.42441860465116277
2,4,4,0.41802492809204217,0.42441860465116277
2,4,5,0.41802492809204217,0.42441860465116277
2,4,6,0.41802492809204217,0.42441860465116277
2,4,7,0.41802492809204217,0.42441860465116277
2,4,8,0.41802492809204217,0.42441860465116277
2,4,9,0.41802492809204217,0.42441860465116277
2,8,0,0.41802492809204217,0.42441860465116277
2,8,1,0.41802492809204217,0.42441860465116277
2,8,2,0.41802492809204217,0.42441860465116277
2,8,3,0.41802492809204217,0.42441860465116277
2,8,4,0.41802492809204217,0.42441860465116277
2,8,5,0.41802492809204217,0.42441860465116277
2,8,6,0.41802492809204217,0.42441860465116277
2,8,7,0.41802492809204217,0.42441860465116277
2,8,8,0.41802492809204217,0.42441860465116277
2,8,9,0.41802492809204217,0.42441860465116277
2,64,0,0.41802492809204217,0.42441860465116277
2,64,1,0.41802492809204217,0.42441860465116277
2,64,2,0.41802492809204217,0.42441860465116277
2,64,3,0.41802492809204217,0.42441860465116277
2,64,4,0.41802492809204217,0.42441860465116277
2,64,5,0.41802492809204217,0.42441860465116277
2,64,6,0.41802492809204217,0.42441860465116277
2,64,7,0.41802492809204217,0.42441860465116277
2,64,8,0.41802492809204217,0.42441860465116277
2,64,9,0.41802492809204217,0.42441860465116277
16,1,0,0.4439117929050815,0.45542635658914726
16,1,1,0.4439117929050815,0.45542635658914726
16,1,2,0.4439117929050815,0.45542635658914726
16,1,3,0.4439117929050815,0.45542635658914726
16,1,4,0.4439117929050815,0.45542635658914726
16,1,5,0.4439117929050815,0.45542635658914726
16,1,6,0.4439117929050815,0.45542635658914726
16,1,7,0.4439117929050815,0.45542635658914726
16,1,8,0.4439117929050815,0.45542635658914726
16,1,9,0.4439117929050815,0.45542635658914726
16,2,0,0.44966442953020136,0.46124031007751937
16,2,1,0.44966442953020136,0.46124031007751937
16,2,2,0.44966442953020136,0.46124031007751937
16,2,3,0.44966442953020136,0.46124031007751937
16,2,4,0.44966442953020136,0.46124031007751937
16,2,5,0.44966442953020136,0.46124031007751937
16,2,6,0.44966442953020136,0.46124031007751937
16,2,7,0.44966442953020136,0.46124031007751937
16,2,8,0.44966442953020136,0.46124031007751937
16,2,9,0.44966442953020136,0.46124031007751937
16,4,0,0.4477468839884947,0.46124031007751937
16,4,1,0.4477468839884947,0.46124031007751937
16,4,2,0.4477468839884947,0.46124031007751937
16,4,3,0.4477468839884947,0.46124031007751937
16,4,4,0.4477468839884947,0.46124031007751937
16,4,5,0.4477468839884947,0.46124031007751937
16,4,6,0.4477468839884947,0.46124031007751937
16,4,7,0.4477468839884947,0.46124031007751937
16,4,8,0.4477468839884947,0.46124031007751937
16,4,9,0.4477468839884947,0.46124031007751937
16,8,0,0.44870565675934804,0.46124031007751937
16,8,1,0.44870565675934804,0.46124031007751937
16,8,2,0.44870565675934804,0.46124031007751937
16,8,3,0.44870565675934804,0.46124031007751937
16,8,4,0.44870565675934804,0.46124031007751937
16,8,5,0.44870565675934804,0.46124031007751937
16,8,6,0.44870565675934804,0.46124031007751937
16,8,7,0.44870565675934804,0.46124031007751937
16,8,8,0.44870565675934804,0.46124031007751937
16,8,9,0.44870565675934804,0.46124031007751937
16,64,0,0.44870565675934804,0.46124031007751937
16,64,1,0.44870565675934804,0.46124031007751937
16,64,2,0.44870565675934804,0.46124031007751937
16,64,3,0.44870565675934804,0.46124031007751937
16,64,4,0.44870565675934804,0.46124031007751937
16,64,5,0.44870565675934804,0.46124031007751937
16,64,6,0.44870565675934804,0.46124031007751937
16,64,7,0.44870565675934804,0.46124031007751937
16,64,8,0.44870565675934804,0.46124031007751937
16,64,9,0.44870565675934804,0.46124031007751937
32,1,0,0.4592521572387344,0.47674418604651164
32,1,1,0.5445829338446788,0.5523255813953488
32,1,2,0.5445829338446788,0.5523255813953488
32,1,3,0.5445829338446788,0.5523255813953488
32,1,4,0.5445829338446788,0.5523255813953488
32,1,5,0.5445829338446788,0.5523255813953488
32,1,6,0.5445829338446788,0.5523255813953488
32,1,7,0.5445829338446788,0.5523255813953488
32,1,8,0.5445829338446788,0.5523255813953488
32,1,9,0.5445829338446788,0.5523255813953488
32,2,0,0.5340364333652924,0.5503875968992248
32,2,1,0.5340364333652924,0.5503875968992248
32,2,2,0.5340364333652924,0.5503875968992248
32,2,3,0.5340364333652924,0.5503875968992248
32,2,4,0.5340364333652924,0.5503875968992248
32,2,5,0.5340364333652924,0.5503875968992248
32,2,6,0.5340364333652924,0.5503875968992248
32,2,7,0.5340364333652924,0.5503875968992248
32,2,8,0.5340364333652924,0.5503875968992248
32,2,9,0.5340364333652924,0.5503875968992248
32,4,0,0.5369127516778524,0.5503875968992248
32,4,1,0.5369127516778524,0.5503875968992248
32,4,2,0.5369127516778524,0.5503875968992248
32,4,3,0.5369127516778524,0.5503875968992248
32,4,4,0.5369127516778524,0.5503875968992248
32,4,5,0.5369127516778524,0.5503875968992248
32,4,6,0.5369127516778524,0.5503875968992248
32,4,7,0.5369127516778524,0.5503875968992248
32,4,8,0.5369127516778524,0.5503875968992248
32,4,9,0.5369127516778524,0.5503875968992248
32,8,0,0.5407478427612655,0.5523255813953488
32,8,1,0.5407478427612655,0.5523255813953488
32,8,2,0.5407478427612655,0.5523255813953488
32,8,3,0.5407478427612655,0.5523255813953488
32,8,4,0.5407478427612655,0.5523255813953488
32,8,5,0.5407478427612655,0.5523255813953488
32,8,6,0.5407478427612655,0.5523255813953488
32,8,7,0.5407478427612655,0.5523255813953488
32,8,8,0.5407478427612655,0.5523255813953488
32,8,9,0.5407478427612655,0.5523255813953488
32,64,0,0.5407478427612655,0.5503875968992248
32,64,1,0.5407478427612655,0.5503875968992248
32,64,2,0.5407478427612655,0.5503875968992248
32,64,3,0.5407478427612655,0.5503875968992248
32,64,4,0.5407478427612655,0.5503875968992248
32,64,5,0.5407478427612655,0.5503875968992248
32,64,6,0.5407478427612655,0.5503875968992248
32,64,7,0.5407478427612655,0.5503875968992248
32,64,8,0.5407478427612655,0.5503875968992248
32,64,9,0.5407478427612655,0.5503875968992248
64,1,0,0.5110258868648131,0.5290697674418605
64,1,1,0.6001917545541706,0.6065891472868217
64,1,2,0.6001917545541706,0.6065891472868217
64,1,3,0.6001917545541706,0.6065891472868217
64,1,4,0.6001917545541706,0.6065891472868217
64,1,5,0.6001917545541706,0.6065891472868217
64,1,6,0.6001917545541706,0.6065891472868217
64,1,7,0.6001917545541706,0.6065891472868217
64,1,8,0.6001917545541706,0.6065891472868217
64,1,9,0.6001917545541706,0.6065891472868217
64,2,0,0.5934803451581975,0.5968992248062015
64,2,1,0.5934803451581975,0.5968992248062015
64,2,2,0.5934803451581975,0.5968992248062015
64,2,3,0.5934803451581975,0.5968992248062015
64,2,4,0.5934803451581975,0.5968992248062015
64,2,5,0.5934803451581975,0.5968992248062015
64,2,6,0.5934803451581975,0.5968992248062015
64,2,7,0.5934803451581975,0.5968992248062015
64,2,8,0.5934803451581975,0.5968992248062015
64,2,9,0.5934803451581975,0.5968992248062015
64,4,0,0.5925215723873442,0.5988372093023255
64,4,1,0.5925215723873442,0.5988372093023255
64,4,2,0.5925215723873442,0.5988372093023255
64,4,3,0.5925215723873442,0.5988372093023255
64,4,4,0.5925215723873442,0.5988372093023255
64,4,5,0.5925215723873442,0.5988372093023255
64,4,6,0.5925215723873442,0.5988372093023255
64,4,7,0.5925215723873442,0.5988372093023255
64,4,8,0.5925215723873442,0.5988372093023255
64,4,9,0.5925215723873442,0.5988372093023255
64,8,0,0.5982742090124641,0.6046511627906976
64,8,1,0.5982742090124641,0.6046511627906976
64,8,2,0.5982742090124641,0.6046511627906976
64,8,3,0.5982742090124641,0.6046511627906976
64,8,4,0.5982742090124641,0.6046511627906976
64,8,5,0.5982742090124641,0.6046511627906976
64,8,6,0.5982742090124641,0.6046511627906976
64,8,7,0.5982742090124641,0.6046511627906976
64,8,8,0.5982742090124641,0.6046511627906976
64,8,9,0.5982742090124641,0.6046511627906976
64,64,0,0.6069031639501438,0.6104651162790697
64,64,1,0.6069031639501438,0.6104651162790697
64,64,2,0.6069031639501438,0.6104651162790697
64,64,3,0.6069031639501438,0.6104651162790697
64,64,4,0.6069031639501438,0.6104651162790697
64,64,5,0.6069031639501438,0.6104651162790697
64,64,6,0.6069031639501438,0.6104651162790697
64,64,7,0.6069031639501438,0.6104651162790697
64,64,8,0.6069031639501438,0.6104651162790697
64,64,9,0.6069031639501438,0.6104651162790697
128,1,0,0.551294343240652,0.5658914728682171
128,1,1,0.4947267497603068,0.48255813953488375
128,1,2,0.4947267497603068,0.48255813953488375
128,1,3,0.4947267497603068,0.48255813953488375
128,1,4,0.4947267497603068,0.48255813953488375
128,1,5,0.4947267497603068,0.48255813953488375
128,1,6,0.4947267497603068,0.48255813953488375
128,1,7,0.4947267497603068,0.48255813953488375
128,1,8,0.4947267497603068,0.48255813953488375
128,1,9,0.4947267497603068,0.48255813953488375
128,2,0,0.4966442953020134,0.48255813953488375
128,2,1,0.4966442953020134,0.48255813953488375
128,2,2,0.4966442953020134,0.48255813953488375
128,2,3,0.4966442953020134,0.48255813953488375
128,2,4,0.4966442953020134,0.48255813953488375
128,2,5,0.4966442953020134,0.48255813953488375
128,2,6,0.4966442953020134,0.48255813953488375
128,2,7,0.4966442953020134,0.48255813953488375
128,2,8,0.4966442953020134,0.48255813953488375
128,2,9,0.4966442953020134,0.48255813953488375
128,4,0,0.4822627037392138,0.46705426356589147
128,4,1,0.4822627037392138,0.46705426356589147
128,4,2,0.4822627037392138,0.46705426356589147
128,4,3,0.4822627037392138,0.46705426356589147
128,4,4,0.4822627037392138,0.46705426356589147
128,4,5,0.4822627037392138,0.46705426356589147
128,4,6,0.4822627037392138,0.46705426356589147
128,4,7,0.4822627037392138,0.46705426356589147
128,4,8,0.4822627037392138,0.46705426356589147
128,4,9,0.4822627037392138,0.46705426356589147
128,8,0,0.49089165867689355,0.4748062015503876
128,8,1,0.49089165867689355,0.4748062015503876
128,8,2,0.49089165867689355,0.4748062015503876
128,8,3,0.49089165867689355,0.4748062015503876
128,8,4,0.49089165867689355,0.4748062015503876
128,8,5,0.49089165867689355,0.4748062015503876
128,8,6,0.49089165867689355,0.4748062015503876
128,8,7,0.49089165867689355,0.4748062015503876
128,8,8,0.49089165867689355,0.4748062015503876
128,8,9,0.49089165867689355,0.4748062015503876
128,64,0,0.4784276126558006,0.46511627906976744
128,64,1,0.4784276126558006,0.46511627906976744
128,64,2,0.4784276126558006,0.46511627906976744
128,64,3,0.4784276126558006,0.46511627906976744
128,64,4,0.4784276126558006,0.46511627906976744
128,64,5,0.4784276126558006,0.46511627906976744
128,64,6,0.4784276126558006,0.46511627906976744
128,64,7,0.4784276126558006,0.46511627906976744
128,64,8,0.4784276126558006,0.46511627906976744
128,64,9,0.4784276126558006,0.46511627906976744
